snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
carrier,Oil,Electricity,Methanol,Centralized heat,Oil,Ammonia,Methanol,Electricity,Decentralized heat,Oil,Hydrogen,Methane,CO2 emissions,Solid biomass,Solid biomass,CO2 emissions,Solid biomass,Electricity,Hydrogen,Electricity,CO2 captured,CO2 captured,CO2 captured,Hydrogen,Methane,Electricity,Electricity,Hydrogen,Oil,Electricity,Centralized heat,Decentralized heat,Solid biomass,CO2 emissions,Oil,Electricity,Methanol,Electricity,Centralized heat,Ammonia,Hydrogen,Solid biomass,Hydrogen,Electricity,Methane,Ammonia,Solid biomass,Electricity,Methane,Decentralized heat,Methane,Methane,Oil
sector,Industry,Industry,Shipping,Industry,Aviation,Industry,Industry,Agriculture,Agriculture,Agriculture,Industry,Industry CC,Industry emissions,Industry CC,Industry,Solid biomass methanation emissions,Solid biomass methanation,Residual electricity consumption,Methanol production,Methanol production,Methanol production,CO2 sequestration,Efuels production,Efuels production,Storage,Compression losses,Hydrogen production,Transport,Transport,Decentral heat production,Residential / Services heat consumption,Residential / Services heat consumption,Central CHP production CC,Central heat production emissions,Storage,Hydroelectricity,Storage,Transport,Storage charging,Hydrogen production,Storage ,Decentral heat production,Ammonia production,Ammonia production,Central CHP production CC,Storage,Central CHP production,Battery charging,Decentral heat production,Storage charging,Power supply,Hydrogen production CC,Decentral heat production
2050-01-01 00:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832926347259,29.82142361588479,85.60396219046535,3.161913481685726,0.2423912032936163,0.7050450214045602,145.52677870537065,155.5713614179502,37.03919453706691,33.90306670914731,22.73493766057865,0.5704842154040632,2.777120834162418,23.96219737069586,0.08478289536654479,306.15539730942356,10.49407700443857,11.1912359662694,154.3248543743657,102.31129903508088,304.37799774369546,7.005989305421561,2.440641028510792,50.7785095231533,5.565806228631599,19.21486709690094,87.01251114071948,48.05653491191731,2.894100432604194,49.14188991181648,29.29558661642763,33.359958501387894,7.183836413613047,19.974194238226215,15.62072866521962,22.29628242495336,1.200095426516638,20.254777177820422,18.59179983127207,0.08332248717706833,2.6889961522152703e-05,4.282604197863912e-06
2050-01-01 03:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329265439955,29.82142361895198,85.60396219936364,3.1619134738853942,0.2423911906416467,0.7050450052571388,111.0974639135748,155.57139017082915,37.03920138269368,33.903072975151304,23.10900612603419,0.570483983816242,2.7771197067914137,,0.0873900134874266,296.31596980037864,49.47951588710317,52.76661659289051,251.7780255189562,162.14473738377845,484.59430947347295,7.964535189924898,2.774564812730833,9.374880994081495,0.0,19.214892361879347,29.097116940741845,17.119757782075272,2.894112145089515,19.624687961748897,39.2536940846924,36.528286094718695,7.86611385512359,19.97420981592788,18.37962290303844,37.87507197242434,0.09842742196756482,89.60901256775479,6.331201462206864,0.08332295793959608,2.9757355180319465e-05,4.986497764159239e-06
2050-01-01 06:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329266266103,29.821423621390952,85.6039622065734,3.1619134668880573,0.2423911871465181,0.7050450042166156,111.72604918204428,155.81128347362838,37.09631635957332,33.955351997291054,23.67870240225291,0.5704834956011352,2.7771173301571297,,0.1030000025023137,259.72993586538934,107.09118828603955,114.2056378575708,276.517342265343,171.35201203266334,509.92333806579256,7.9645350683870895,2.7745647709885075,,0.0338572484774409,19.42568660736084,53.66708632036847,12.492713018496405,2.894112945809565,,39.34137315885706,36.06248669686168,7.765807175316868,23.51006079309324,17.974014824465847,39.750287802111295,10.077031439220445,97.90623983145113,1.278790211943927e-05,0.08332101328924178,0.8384394653703596,0.661797703332298
2050-01-01 09:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329265362495,29.821423620878647,85.60396220554038,3.1619134680276506,0.2423911719039191,0.7050449593717782,141.1766469496965,155.72742741555905,37.076351497020006,33.93707757001358,22.54864928597498,0.5704832905284334,2.777116331861897,,0.1108220919817801,282.67167919278876,87.98268826503305,93.8276920307929,265.79302386162794,152.27298994847965,453.26404227456794,7.964531202400952,2.7745634551330207,,10.651907462468056,19.35200228881836,203.83324534002065,18.64887390411011,2.8941133675381328,0.0,32.79054043463172,35.127539316765365,7.564472721208702,19.68619406109003,17.159883977713687,25.37336045078427,52.66989724116729,56.29205406288419,2.6310434913885636,2.0481941017405277e-05,0.8474407632722295,4.630152204870552e-06
2050-01-01 12:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832926565703,29.82142362207973,85.6039622090964,3.161913464834282,0.2423911688016899,0.7050449517103934,148.57016761478343,152.63078638850007,36.33908797777522,33.262238535645196,22.61317689678768,0.5704830476631958,2.777115149592357,0.0,0.1059741712365945,274.9213158067795,101.36452829730788,108.0985354219116,247.6215769202779,146.07832983138096,435.2198158813675,7.964530118148301,2.774563083520716,,19.20136385097546,16.630983818769455,135.05159795841644,20.785176500238943,2.8941134574498437,0.0,32.74715102619062,33.071611666487186,7.121742916337757,19.974195356915818,15.369629925520393,30.54274292081406,41.98933986625844,46.92474054705831,7.500587406328991,2.753815932929874e-05,0.9405736115369712,4.592744071394225e-06
2050-01-01 15:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329264726044,29.821423621195613,85.60396220643092,3.1619134672601565,0.2423911670853655,0.7050449508870027,167.74688025942524,155.12839553478284,36.93373104191988,33.80653286287881,23.16263738707164,0.5704833443035099,2.7771165936393154,,0.1046149476788156,247.5491528425503,115.01809565768102,122.65915795657216,230.08445583388482,154.8136467209763,461.78525908749657,7.964534284589775,2.774564499500349,,0.0,18.82563297510147,26.76188853379533,3.807020132639727,2.894113472280768,,37.77501085234576,26.129379625260498,5.626781244624624,22.826829501478976,9.324495775169382,47.35867636864847,0.19926959378665723,70.09046574365027,0.0049218873876861,0.08333005713362655,0.9388919515364216,0.9891802502760608
2050-01-01 18:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329264595865,29.821423621075187,85.60396220604208,3.161913467678552,0.2423911647639295,0.7050449452536083,172.3791363858398,152.83640965279076,36.388043775410424,33.30704922048244,23.399435216970545,0.5704835442171045,2.7771175668199817,,0.0891246238878668,246.4788739326744,55.440254173041545,59.123347981732906,234.13151125810845,154.00179128611774,458.5928891243856,7.964534019300031,2.774564408508199,3.131190367817879,,16.811664980649947,7.1861077716071335,3.4918556198481596,2.8941130188291098,1.1126994434648154,38.60783957849296,28.384370663657435,6.112377973809198,21.801810746194207,11.288089957622113,48.87487825760063,0.14847920999249228,70.02151133601511,1.5617176236656023e-05,0.0833305770025546,0.7256289817954902,4.895686599471552e-06
2050-01-01 21:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329264452528,29.8214236208226,85.60396220527096,3.1619134682300976,0.2423911618014319,0.705044934527464,161.62953418916422,144.3161699107004,34.359503210917296,31.45026623856861,23.055959440862484,0.5704836017498679,2.7771178468898445,20.189772526172696,0.0827822637439106,207.28009516722256,21.929268443493346,23.386107955481,152.77047382503093,109.43886465983678,324.4140486951392,7.964530813616415,2.7745633115387656,38.84848661136627,,9.324930319547654,74.4365771469856,6.691103955106641,2.894110120913089,10.614953488482389,33.12327874745335,14.544051803338434,3.131960998750953,19.974200747812265,0.0,25.5347621118944,0.23126721515971832,23.495283647163866,8.933190725327663,0.08332925402265523,0.7256036976128788,4.47123783993369e-06
2050-01-02 00:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329263974105,29.82142362037372,85.60396220393926,3.16191346962424,0.2423911585031065,0.705044920639386,137.63377906937745,150.66636253451034,35.871388289233536,32.83413922250793,23.055066065434616,0.5704840428900173,2.7771199943629323,31.864460434770734,0.0831631922706942,199.51909060253251,10.502150657333694,11.199845980720402,151.83217404797347,103.5717886952429,306.8637556808401,7.964530539158514,2.774563221496692,51.00010114288331,,14.904844578027726,83.75403256385263,17.606511312547024,2.894107306196511,11.055217363243823,33.25850720190493,18.325681724589696,3.9463088562269526,19.974201236594453,2.52922337919039,31.91140268444683,0.22737476703850287,12.531946421421592,13.886498559562744,0.08332946246808833,8.412802835343638e-05,4.408032339310583e-06
2050-01-02 03:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.488329263420766,29.82142361927471,85.60396220070945,3.1619134723825897,0.2423911557333536,0.7050449066924666,126.88958639339896,147.73218878969917,35.17280577925831,32.19470605627555,23.71466496646495,0.5704836052821604,2.777117864085067,,0.0856855028121746,192.33215662546516,48.85458084289667,52.10016488490891,234.21035586517328,164.90399101547135,490.34875157129915,7.9645352944020145,2.7745648477623597,10.053843732953071,,12.326586108446122,15.249182849150252,2.855246624488277,2.894113048229313,0.0,51.41308366073392,27.977411161677335,6.024742058762456,23.510071049331614,10.933719062692251,66.1278093594857,6.613609850278798e-05,89.11095828810546,0.9595654976366502,0.08332998236015059,8.485418744095982e-05,5.190346880084005e-06
2050-01-02 06:00:00,19.99429223744647,199.0011415525114,57.065596856101045,6.404109589041098,83.871621355086,10.534246575342468,60.42009132419129,5.7144931044690885,22.34338942225278,10.49743235957586,22.23744292237443,25.48832926254001,29.82142361611536,85.60396219146595,3.161913480556146,0.2423911524894025,0.7050448901905618,175.78368151648684,128.3244390595254,30.552113312272727,27.965250018998777,23.345805357922536,0.5704830361858018,2.7771150937203295,,0.1075094249162678,166.0834138960855,107.43552755716998,114.57285281455,240.46143418521382,172.93390625533317,512.4957536537363,7.9645355801808835,2.7745649454328936,,,0.0,23.409553056155165,2.639270640821739,2.894113955456752,,52.897021677474605,37.476035022388345,8.070205033992195,23.582025455336392,19.20489880743095,77.22583635118198,3.407728974666625,104.87027438650192,1.4422386587422888e-05,0.08332881757985315,0.7961705597826525,0.0488456035936017
