country,sector,year,cfs
AL,Transport,2023,0.019081589517359
AL,Transport,2030,0.0190815890142452
AL,Transport,2035,0.0190815890132566
AL,Transport,2040,0.0190815890134727
AL,Transport,2045,0.0190815890122868
AL,Transport,2050,0.0190815890119844
AT,Ammonia production,2023,0.8736201478569847
AT,Ammonia production,2030,0.6634240685975432
AT,Ammonia production,2035,0.599603702203236
AT,Ammonia production,2040,0.467768136591507
AT,Ammonia production,2045,0.3153100988905182
AT,Ammonia production,2050,0.3308028800028494
AT,Battery,2023,0.3042788396793033
AT,Battery,2030,0.2702044926833064
AT,Battery,2035,0.1782076850455179
AT,Battery,2040,0.1521899189877823
AT,Battery,2045,0.141183705446091
AT,Battery,2050,0.1554480814476705
AT,Battery charging,2023,0.3202916145235641
AT,Battery charging,2030,0.3002271172137748
AT,Battery charging,2035,0.1980084349013223
AT,Battery charging,2040,0.1690997532106622
AT,Battery charging,2045,0.1568707011167093
AT,Battery charging,2050,0.1727200002250388
AT,Biomass CHP,2023,0.8288766614713472
AT,Biomass CHP,2030,0.5629857686732599
AT,Biomass CHP,2035,0.4877767826963206
AT,Biomass CHP,2040,0.4089132829313487
AT,Biomass CHP,2045,0.3605743380504581
AT,Biomass CHP,2050,0.2602827483158532
AT,Biomass CHP CC,2023,0.8803963019963306
AT,Biomass CHP CC,2030,0.3632465323727124
AT,Biomass CHP CC,2035,0.1282485994117115
AT,Biomass CHP CC,2040,0.0949283335012301
AT,Biomass CHP CC,2045,0.4998034796193285
AT,Biomass CHP CC,2050,0.4771154484397861
AT,Central heat production,2023,0.174066848106343
AT,Central heat production,2030,0.4759336177966348
AT,Central heat production,2035,0.4808708639035635
AT,Central heat production,2040,0.4857794995934572
AT,Central heat production,2045,0.4478827066154471
AT,Central heat production,2050,0.458421598398761
AT,Compression losses,2023,0.2036024352487797
AT,Compression losses,2030,0.0527812316577138
AT,Compression losses,2035,0.0908628836453613
AT,Compression losses,2040,0.0692517380647049
AT,Compression losses,2045,0.0868867288643232
AT,Compression losses,2050,0.0243219377818959
AT,Decentral heat production,2023,0.5255946502965135
AT,Decentral heat production,2030,0.5459906181352812
AT,Decentral heat production,2035,0.5517979694702573
AT,Decentral heat production,2040,0.5320650991481939
AT,Decentral heat production,2045,0.4646541739734905
AT,Decentral heat production,2050,0.4260530313549534
AT,Direct Air Carbon Capture,2030,0.2411155283311876
AT,Direct Air Carbon Capture,2035,0.1373611368472525
AT,Direct Air Carbon Capture,2040,0.0857816061466148
AT,Direct Air Carbon Capture,2045,0.2075919700994377
AT,Direct Air Carbon Capture,2050,0.3932092308730893
