snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,Electricity,Hydrogen,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Decentralized heat,CO2 emissions,Electricity,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Electricity,Decentralized heat,Decentralized heat
sector,Aviation emissions,Agriculture emissions,Shipping emissions,Industry emissions,Nuclear,Steam Methane Reforming,Methane production emissions,Heat Pump,Biomass CHP,Biomass CHP,Imports,Transport emissions,Offwind,Gas Boiler,Decentral heat production emissions,Solar,Onwind,Gas Boiler,Storage,Power supply emissions,Gas,Hydroelectricity,Resistive heater,Oil Boiler
2023-01-01 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578598808783,4.033999320217168,0.6056444667534453,0.159380122829854,0.8139339275646023,0.1701244624531278,0.5229751993929486,28.191219159332796,0.41485717474552,1.5070253394659916,13.132461222256955,2.8100053301616987,,3.184876812859281,0.52674596457152,,8.940894900839931e-07,1.9842668160360757e-06,0.07976689845430016,3.856296541776438e-06,2.0665039745247503e-06
2023-01-01 03:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578603858509,4.033999319830195,0.6057098250841462,0.1593973223905647,0.8138798297815714,0.2279390346680082,0.7007014769423957,28.52174634566128,2.0688959861112397,1.4694142253022784,21.61808056935187,4.587156440700091,,2.6239096872174783,0.668570969765063,2.38162416873865,8.933562976205874e-07,1.9824505142675556e-06,0.07987625427704578,3.933522140836805e-06,2.1982641994476235e-06
2023-01-01 06:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578609955776,4.033999318057366,0.6060380656181695,0.1594837014784656,0.8138245520628824,0.2330543086096379,0.7164262079481463,28.580204133150115,4.3864716763244,1.4556055998573276,22.368920566269267,4.744405401016377,0.0393080047197846,1.9255068111938611,0.6811193997591786,3.1098458295675746,8.904642124499559e-07,1.975092625090912e-06,0.07987625281494365,3.961618241617233e-06,2.2033508648239e-06
2023-01-01 09:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578617040519,4.033999317046109,0.6060417028663915,0.1594846586490504,0.8138275496767475,0.2148953205839644,0.6606041336470018,28.35097303058491,3.61109467443296,1.4970445138616022,19.703691619655025,4.186223988299805,1.0611915144275093,1.5546830725578236,0.6365737245048297,0.5481727789055488,8.887779303220171e-07,1.970842936226771e-06,0.07987625280341107,3.9424217003333525e-06,2.1151987387162633e-06
2023-01-01 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457862463324,4.033999327703235,0.6060425730324384,0.1594848876401154,0.813812252256347,0.2091030949077486,0.6427984028645605,27.965334316649525,4.25415199430624,1.5001266279175969,18.853570789836184,4.008182238704996,1.656056879321901,1.4189503997952604,0.6223645375302007,0.0436054827681294,9.069114881431357e-07,2.017505655404955e-06,0.07987625925685522,3.803339639261956e-06,1.9807547655148417e-06
2023-01-01 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578633218215,4.033999528760686,0.6059985795068691,0.1594733103965445,0.813753667449027,0.3616849511573164,1.111846331335454,27.68813952057028,4.860757163240939,1.485007076991642,20.03238995403949,4.168780470362972,0.0095196352423337,1.135443414982221,0.1977093047852915,1.1238265926995998,3.1720894349355653e-06,8.219855818620248e-06,0.07988077937643444,2.4729860385256897e-06,2.190630210759591e-06
2023-01-01 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457864263903,4.033999528814415,0.6058137580002504,0.1594246731579606,0.8136983451413534,0.3601801315060198,1.1072204042592464,27.649946656238505,2.2371646896900605,1.5061026540772862,19.81158354334502,4.122536603639714,,1.2902009826030023,0.1940179641043508,0.9305568913797716,3.18486978640134e-06,8.25531055909731e-06,0.07987978360241828,2.4703112048569003e-06,2.1679434936359e-06
2023-01-01 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578653562124,4.0339995241467195,0.6057643337281964,0.159411666770578,0.8136402881315724,0.3185418634922421,0.979221284068744,27.834759972885053,0.8873013814538381,1.5069819718427422,13.701487650095146,2.8428980425331765,,1.588778040415196,0.0919194572045024,0.0,2.842912037440825e-06,7.30405622830026e-06,0.07987872982488682,2.4549290591693143e-06,2.0915356913570856e-06
