config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,265213344236.8588,338405517392.8474,379617207486.06244,431215732662.8337,517833811238.8317,644656275211.473
prod_tot,Energy production,marginal,439114944170.7701,651705905450.4779,594314638439.4817,510183977549.058,398614997663.963,297541615909.7848
prod_tot,Energy production,total,704328288407.6289,990111422843.3253,973931845925.5442,941399710211.8916,916448808902.7947,942197891121.2578
sto_tot,Storage,capital,31916836948.42503,43333012689.67088,44918074238.90753,45636770369.373,47404821366.3244,50275691202.34034
sto_tot,Storage,total,31916836948.42503,43333012689.67088,44918074238.90753,45636770369.373,47404821366.3244,50275691202.34034
tran_tot,Transmission,capital,8056685674.100163,12975660867.381983,13178329477.290186,14254148565.544182,17084444991.553993,22581885865.077286
tran_tot,Transmission,marginal,16103043.50617081,566140005.4491316,521028023.12091804,504679964.60639477,1094210901.7923563,4034018383.10336
tran_tot,Transmission,total,8072788717.606335,13541800872.831114,13699357500.411104,14758828530.150578,18178655893.346348,26615904248.180645
distr_tot,Distribution,capital,23327248556.671806,40162998836.42023,42100088793.819786,46398199113.74974,52311794050.46173,56072795644.6755
distr_tot,Distribution,total,23327248556.671806,40162998836.42023,42100088793.819786,46398199113.74974,52311794050.46173,56072795644.6755
net_imp_tot,Net_Imports,H2,0,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0,0
net_imp_tot,Net_Imports,total,0,0,0,0,0,0
prod_eu27,Energy production,capital,221388514313.15152,280509926437.3378,309218049786.5804,345454333869.81,418258610773.3479,517920538415.08636
prod_eu27,Energy production,marginal,118291743220.04343,297651753203.2112,290132838615.9464,259923573116.32053,203866258323.43954,174334399402.9093
prod_eu27,Energy production,total,339680257533.19495,578161679640.5491,599350888402.5269,605377906986.1305,622124869096.7875,692254937817.9956
sto_eu27,Storage,capital,21880520318.180126,30054165701.770424,30568159111.573376,32785289952.06497,34124723651.855198,35779523297.0252
sto_eu27,Storage,total,21880520318.180126,30054165701.770424,30568159111.573376,32785289952.06497,34124723651.855198,35779523297.0252
distr_eu27,Distribution,capital,19078064611.083534,32526533680.075043,34148390147.41258,37344353684.67852,42339614451.17833,45630119641.24553
distr_eu27,Distribution,total,19078064611.083534,32526533680.075043,34148390147.41258,37344353684.67852,42339614451.17833,45630119641.24553
net_imp_eu27,Net_Imports,H2,0,-33420899.93317851,-35501343.06187402,-62529194.11173375,-267135875.7880736,-150534720.7940728
net_imp_eu27,Net_Imports,elec,556251862.2481155,-1425565457.4082718,-1235343252.435236,-775287129.5453568,-798853974.6089268,-674291636.1830997
net_imp_eu27,Net_Imports,gas,363621985.20133233,-1354013687.7705631,-1349133562.1354258,-1324408706.506202,-805470180.7263588,-438476273.78764415
net_imp_eu27,Net_Imports,total,919873847.4494479,-2813000045.1120133,-2619978157.632536,-2162225030.1632924,-1871460031.1233592,-1263302630.7648168
prod_be,Energy production,capital,6593719327.20583,7658065740.133571,7703657028.770754,8422144171.492919,9926616874.09315,10711539293.672867
prod_be,Energy production,marginal,4569147266.153669,15432317883.460562,15345041543.83698,14374297345.669512,12043076961.287611,10847862183.886753
prod_be,Energy production,total,11162866593.359499,23090383623.59413,23048698572.607735,22796441517.16243,21969693835.38076,21559401477.55962
sto_be,Storage,capital,237109918.2919007,497812695.13331306,498683602.32364637,500461459.3070349,503054100.2419427,503882004.04023564
sto_be,Storage,total,237109918.2919007,497812695.13331306,498683602.32364637,500461459.3070349,503054100.2419427,503882004.04023564
distr_be,Distribution,capital,608214575.0188338,1166210382.2650352,1308502277.1314423,1445173275.8139253,1726603333.3605134,1847365586.8535252
distr_be,Distribution,total,608214575.0188338,1166210382.2650352,1308502277.1314423,1445173275.8139253,1726603333.3605134,1847365586.8535252
net_imp_be,Net_Imports,H2,0,0,12274703.2248856,28896040.65228992,-10259092.263242885,243782322.54205042
net_imp_be,Net_Imports,elec,371033298.4967003,1877954913.3814888,2618451559.863371,2811528987.389109,3611480073.825967,4169322447.937312
net_imp_be,Net_Imports,gas,-57607714.23764144,-171221659.00072402,-160980049.27265218,-145557257.89363244,-21207792.750613987,21138872.486475743
net_imp_be,Net_Imports,total,313425584.25905883,1706733254.3807647,2469746213.815604,2694867770.1477666,3580013188.81211,4434243642.965838
prod_fl,Energy production,capital,3286283803.799794,5471725822.760642,5515517146.096977,5296849317.698594,6119682773.67236,6373540264.9490185
prod_fl,Energy production,marginal,4316982808.098232,11510008901.077627,11417202623.140017,10680931407.118052,9317035842.09201,8426170377.187277
prod_fl,Energy production,total,7603266611.898026,16981734723.838268,16932719769.236994,15977780724.816647,15436718615.76437,14799710642.136295
sto_fl,Storage,capital,2228971.681691259,176780902.0172332,177066803.7294163,178213603.77072126,179841375.37647283,180386687.2971567
sto_fl,Storage,total,2228971.681691259,176780902.0172332,177066803.7294163,178213603.77072126,179841375.37647283,180386687.2971567
distr_fl,Distribution,capital,366959689.82068187,700060351.1105742,783465788.9272614,868772822.1397159,1028302088.7375891,1101676591.43079
distr_fl,Distribution,total,366959689.82068187,700060351.1105742,783465788.9272614,868772822.1397159,1028302088.7375891,1101676591.43079
net_imp_fl,Net_Imports,H2,0,-48400347.68088587,-62236627.564205274,-26284854.660266966,-40306121.742642485,129395280.73350242
net_imp_fl,Net_Imports,elec,595353400.6658992,153067972.77427816,574298294.8551373,1241842530.3202229,1802089219.088272,2031356279.1172695
net_imp_fl,Net_Imports,gas,-1009300390.6157967,-868979639.2593758,-795467122.8562436,-704484022.0968539,-489116157.7360771,-325777527.4201477
net_imp_fl,Net_Imports,total,-413946989.9498975,-764312014.1659836,-283405455.56531155,511073653.5631021,1272666939.6095526,1834974032.4306242
prod_fr,Energy production,capital,57841793686.36784,62056162904.36826,65902010629.29202,75198501814.67819,95885289858.1636,116576759882.52507
prod_fr,Energy production,marginal,13036926655.212057,44801663576.113655,42951743482.18744,36893489169.07177,27165305317.183056,23400593197.815628
prod_fr,Energy production,total,70878720341.5799,106857826480.48192,108853754111.47946,112091990983.74997,123050595175.34666,139977353080.3407
sto_fr,Storage,capital,2834271768.233366,3967921914.678591,3969606230.290431,3977995339.4461384,4088271957.5820675,4177742741.211371
sto_fr,Storage,total,2834271768.233366,3967921914.678591,3969606230.290431,3977995339.4461384,4088271957.5820675,4177742741.211371
distr_fr,Distribution,capital,3337457394.6765785,5584377675.667599,5841991036.615992,6533602233.429018,7412392052.161247,7791371989.605575
distr_fr,Distribution,total,3337457394.6765785,5584377675.667599,5841991036.615992,6533602233.429018,7412392052.161247,7791371989.605575
net_imp_fr,Net_Imports,H2,0,-6943289.669454275,-41643287.46829413,-88901932.72079542,-1860334027.6149008,-1452771172.6940048
net_imp_fr,Net_Imports,elec,-6307676961.545257,-8267001914.593398,-7703484953.770252,-7408288267.521072,-5894469795.130635,-4880972053.9813385
net_imp_fr,Net_Imports,gas,-322795514.8513141,-615370091.1290079,-522249619.43125945,-445070321.0337539,-252929935.83703193,-166488150.80659723
net_imp_fr,Net_Imports,total,-6630472476.396571,-8889315295.391861,-8267377860.669806,-7942260521.275621,-8007733758.582568,-6500231377.481941
prod_de,Energy production,capital,43046386448.806786,58323386845.781364,60783995344.481735,58939035778.04054,70585028370.83313,78141696308.02422
prod_de,Energy production,marginal,29341878415.492176,64492544205.66261,63615544846.91005,57967271253.26841,45133638650.341705,37997774245.18292
prod_de,Energy production,total,72388264864.29897,122815931051.44397,124399540191.39178,116906307031.30896,115718667021.17484,116139470553.20714
sto_de,Storage,capital,1883801574.676827,3540419779.8823056,3541545381.590403,3549929040.3162994,3581246575.23334,3749307866.6947055
sto_de,Storage,total,1883801574.676827,3540419779.8823056,3541545381.590403,3549929040.3162994,3581246575.23334,3749307866.6947055
distr_de,Distribution,capital,3622817850.951034,6882580714.030825,7281827414.605254,8030227940.066483,9359393094.925007,10048289266.512285
distr_de,Distribution,total,3622817850.951034,6882580714.030825,7281827414.605254,8030227940.066483,9359393094.925007,10048289266.512285
net_imp_de,Net_Imports,H2,0,-49456123.69822194,126675937.03181396,144274356.7352782,298294518.304046,-12526944.225244522
net_imp_de,Net_Imports,elec,1524575359.8821225,7546907.757858276,2151728037.6079044,4887123087.119244,3507086069.914608,4503456195.798861
net_imp_de,Net_Imports,gas,-852606759.6138926,-629002046.2026577,-475932480.70151675,-328490829.1317236,-207911580.19731888,-129887864.90639976
net_imp_de,Net_Imports,total,671968600.26823,-670911262.1430213,1802471493.938202,4702906614.722798,3597469008.021335,4361041386.667216
prod_gb,Energy production,capital,29447596528.622917,38082004679.094246,48263768511.662796,62239951608.471466,73139254775.2613,97025187858.6989
prod_gb,Energy production,marginal,15751968444.225418,42071736931.16738,42126728070.57917,34990998436.934006,28247475678.176926,21145096184.878807
prod_gb,Energy production,total,45199564972.848335,80153741610.26163,90390496582.24197,97230950045.40547,101386730453.43823,118170284043.5777
sto_gb,Storage,capital,571812700.8821886,1186324295.5817075,1206803060.5848832,1271156111.7578573,1396377908.4696274,2130579046.3238182
sto_gb,Storage,total,571812700.8821886,1186324295.5817075,1206803060.5848832,1271156111.7578573,1396377908.4696274,2130579046.3238182
distr_gb,Distribution,capital,2475037332.905676,4506548701.136303,4701365097.394013,5688647990.403667,6142241795.408865,6420035139.531397
distr_gb,Distribution,total,2475037332.905676,4506548701.136303,4701365097.394013,5688647990.403667,6142241795.408865,6420035139.531397
net_imp_gb,Net_Imports,H2,0,0,-26904028.014003232,-63471563.141767696,-2823743.611711912,-180825111.4011584
net_imp_gb,Net_Imports,elec,140157535.9376688,108451861.50920427,96666586.66560471,-106707918.69970226,-862162222.0190187,-1339982266.6601863
net_imp_gb,Net_Imports,gas,75130484.2693372,0,0,70628617.03215863,42766728.19980374,21167216.338234413
net_imp_gb,Net_Imports,total,215288020.207006,108451861.50920427,69762558.65160148,-99550864.80931132,-822219237.4309268,-1499640161.7231102
prod_nl,Energy production,capital,9555599572.917095,15131112626.91553,18322431110.64176,24543047906.371998,34506939023.457886,59589911322.08215
prod_nl,Energy production,marginal,7848360217.010734,23261265957.910244,23514841373.12238,21295015631.934544,19018655583.26974,18042962910.57125
prod_nl,Energy production,total,17403959789.92783,38392378584.825775,41837272483.764145,45838063538.30654,53525594606.72763,77632874232.65341
sto_nl,Storage,capital,471313421.61709523,932476504.0787933,933318428.6962603,945143840.8278059,1018293077.6468163,1422271102.9298384
sto_nl,Storage,total,471313421.61709523,932476504.0787933,933318428.6962603,945143840.8278059,1018293077.6468163,1422271102.9298384
distr_nl,Distribution,capital,1052360067.1790537,1730507530.7568896,1909709438.641237,2233846475.1485915,2484188344.025531,2664019136.0152197
distr_nl,Distribution,total,1052360067.1790537,1730507530.7568896,1909709438.641237,2233846475.1485915,2484188344.025531,2664019136.0152197
net_imp_nl,Net_Imports,H2,0,0,39194427.028625116,-12750952.731242016,-84757811.76329555,-382958578.5030398
net_imp_nl,Net_Imports,elec,597428898.7244401,-1989150211.9511285,-3817317046.0028296,-4155056477.3574076,-4907694574.680564,-6754178490.749887
net_imp_nl,Net_Imports,gas,0,0,0,0,0,0
net_imp_nl,Net_Imports,total,597428898.7244401,-1989150211.9511285,-3778122618.9742045,-4167807430.0886497,-4992452386.443859,-7137137069.252927
prod_lu,Energy production,capital,184552506.96854737,239998296.87502024,249975612.85855302,305279433.9921204,387235897.14851934,418349491.3488086
prod_lu,Energy production,marginal,17409077.27224178,707598017.1218671,732266302.4736388,694213680.1645643,568034488.7329394,520542370.589721
prod_lu,Energy production,total,201961584.24078915,947596313.9968873,982241915.3321918,999493114.1566846,955270385.8814588,938891861.9385296
sto_lu,Storage,capital,458658732.9053118,533590496.67496496,533564210.98280793,533551116.2420297,533690897.9756441,533699189.79237705
sto_lu,Storage,total,458658732.9053118,533590496.67496496,533564210.98280793,533551116.2420297,533690897.9756441,533699189.79237705
distr_lu,Distribution,capital,44548525.32554416,87106754.40492275,96056475.2113157,101686998.64640313,122127798.3458387,131005892.81132798
distr_lu,Distribution,total,44548525.32554416,87106754.40492275,96056475.2113157,101686998.64640313,122127798.3458387,131005892.81132798
net_imp_lu,Net_Imports,H2,0,0,0,30368369.380565282,25677369.08604073,29422395.50789316
net_imp_lu,Net_Imports,elec,280959001.78743446,472520173.48924506,528119678.7196799,560382494.1418047,700256755.4487003,746810162.8216565
net_imp_lu,Net_Imports,gas,147873120.85170788,120729717.8013215,120632404.290326,108184443.9920929,82928519.82520297,56285559.66333346
net_imp_lu,Net_Imports,total,428832122.63914233,593249891.2905666,648752083.010006,698935307.514463,808862644.359944,832518117.9928831
