snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,lignite,Hydrogen,CO2 captured,Oil,CO2 emissions,Coal,Hydrogen,Methane,Methanol,Electricity,Decentralized heat,Centralized heat,Electricity,Centralized heat,Ammonia,Electricity,Hydrogen,Electricity,CO2 emissions,Methane,Electricity,Centralized heat,Electricity,Centralized heat,Decentralized heat,Centralized heat,Oil,Electricity,Decentralized heat,Ammonia,Decentralized heat,CO2 emissions,Hydrogen,Centralized heat,Electricity,CO2 emissions,Methanol,Centralized heat,Decentralized heat,Decentralized heat,Electricity
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Imports,Steam Methane Reforming CC,Hydrogen production CC,Imports,Methane production emissions,Imports,Steam Methane Reforming,Imports,Methanol production,Nuclear,Heat Pump,Waste Heat,Offwind,Heat Pump,Haber-Bosch,Onwind,Electrolysis,Hydroelectricity,Transport emissions,Storage,Solar,Solar thermal,Biomass CHP,Biomass CHP,Biomass boiler,Storage,Storage,Battery,Gas Boiler,Storage,Resistive heater,Decentral heat production emissions,Storage,Gas Boiler,Gas,Power supply emissions,Storage,Resistive heater,Storage,Oil Boiler,Coal/Lignite
2040-01-01 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748706336186,23.00285558331109,0.0696708144908039,49.273546335935265,12.751878025144643,360.4957978018892,3.505547514018007,32.156056549688216,7.969715303449338,367.36107500278194,58.50811088701468,118.4670706637832,182.49489724699825,26.071107515186917,301.4056821808699,13.195118616345784,12.205884537911407,145.51068451546172,48.74321215770264,30.54723292256189,6.304830456491959,,,,15.462395057342276,47.26955885792837,26.762608957644503,0.5799275003016611,,2.9477549622722825,173.04447277155586,,15.759536494626651,36.937313347041716,,9.99373006343247,16.454532666454817,5.090620599750471,,3.9717496893203137,1.4469387344890383,1.6475406069321655e-05,5.3681815466211575e-06
2040-01-01 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748691205506,23.002855598066702,0.0696752484651997,49.27944681632635,12.753417276328754,361.49418978303754,3.513585808272952,31.65724515608422,7.999761146644738,370.17619092489537,58.300459987976055,116.66131624973428,181.54762630363894,25.49752738269197,280.6721896004179,13.09895543632317,11.636438050092089,135.31229430135883,48.59925093932999,35.19778294067993,29.727241243387866,94.09118118417054,,,26.163730604669936,80.05516695270259,33.45340815025339,6.43308209047563,0.0,4.123823502907746,269.149552370395,0.0,65.65371016575742,71.28800171416688,,15.609722592702417,15.325847417688509,4.74143310985066,,5.304842948030157,8.534642439959828,48.35444007070251,5.663903632565604e-06
2040-01-01 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748668445585,23.002855623665766,0.0697071274925452,49.298212632438215,12.75831151793504,362.18716278054785,3.533957498645665,30.89430663738759,8.075485747171877,369.5625635889379,58.37809521389961,114.34513606335913,181.28070555722599,25.310077508073284,274.56155946019675,13.04019929659472,11.425759256470696,116.37034046348066,48.5992544329597,43.018814799639195,64.34027358886806,103.44762425472705,60.195138453951316,0.0167607916669686,28.29354701662459,86.60968034761402,33.445016868282345,3.741292672682121,144.20687286281589,4.167497468403392,293.1898001905162,,72.7683507027846,80.1645097313607,7.008886549706087,22.027768456201144,1.2651122809049522,0.3913936004366494,,1.9303011673520751,0.1384844380719408,58.06454526201105,5.606655061548203e-06
2040-01-01 09:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974864463997,23.002855651162697,0.0697178656860256,49.29821192810248,12.7583113351296,362.3956688177657,3.539006092231939,31.34285379578038,8.094766883288937,368.3566223002671,58.502926598154694,113.42711429887129,184.99411961247063,25.20812036954706,282.0075420673926,13.34265675524603,11.21651270275276,97.47364309684843,49.03448486100926,19.514710090702902,52.859906820104214,57.46895170522729,290.6015532873512,5.989527931252393,20.87911765212819,63.86127818376015,32.703818196233065,2.5573160454107504,63.20944485783578,6.74049022400782e-05,250.19597268967257,0.0,75.71825445613085,61.844065996078115,1.4451694647615412,20.42417806568967,1.9448723456266476e-05,7.271252371953902e-06,,5.324968071508399,1.721615458848881e-05,25.542497233038542,5.204027561545312e-06
2040-01-01 12:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974863000987,23.00285566716216,0.0697160770470393,49.29821199267377,12.758311351904569,362.3534743982662,3.537846232015423,30.051910864396618,8.090337261090154,368.7005083142131,58.44287735877535,114.19703411564126,188.48714172033544,25.034842186796467,295.9091949079168,13.61771733995963,10.975237035719566,96.38336047802711,49.30114356468403,22.23803992765052,60.899702274618875,49.64919705719865,218.34542913908496,6.793854539150946,18.28305563637716,55.89660272177299,32.72471368402606,1.124922925949654,88.19745228099823,7.510732826674041e-05,238.915592046314,,66.80180868323531,58.717410981052645,4.346744860750583,24.571209027182093,2.3779746509023553e-05,8.123079731976897e-06,,5.325728998919401,1.53773198619347e-05,19.849754079803937,5.394353175744131e-06
2040-01-01 15:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974862688319,23.00285566843329,0.0696976979819015,49.298212531066866,12.758311491628998,362.0803014599303,3.5266580003390775,28.44382653729756,8.047608277228676,370.1585132845591,58.48105105716799,117.3283464975093,185.6775529871904,24.964248273322188,299.30897320295907,13.249797923056189,11.041423514919808,97.30319113237424,48.599245717751025,50.297675083634424,69.10275122275739,103.45789727967194,19.576802875461603,0.3689757071504228,25.3443729263993,77.53667692018296,32.8788520143131,2.0166256545350043,148.1489230453968,5.306847244745785,269.3197294353139,0.0,46.52321011200296,70.36254336627042,8.791304656640856,15.83361161119796,21.009428028692344,6.499790409843368,0.0,5.329572276502252,3.1885437570282285e-05,44.844764765486936,5.771232863078579e-06
2040-01-01 18:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974862211193,23.002855672414185,0.0696614825541761,49.298206326731645,12.758309881170302,361.765827749889,3.5064035149825945,27.762226464156843,7.970255129493075,369.2447329713019,58.36188106342597,119.62836646083984,182.26235730685053,25.05543244277238,296.94583121059213,12.935359350603164,11.330233680989316,93.09531514035535,47.79112667441544,61.71732345098661,33.30844655304983,111.35734973900324,,,24.972821882935207,76.38563563766601,32.65916335112005,1.8763000219796704,6.30436260342598,9.439864334463621,273.6213082508459,0.0,45.02851755719144,70.59918323588894,0.0,16.450428739926092,22.3731814384659,6.921701675953218,0.0,5.304786141862089,0.0005436087727084,42.202584485064904,5.8561107794184935e-06
2040-01-01 21:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974861513187,23.00285567947369,0.0696403514942505,49.29820345118046,12.75830913478594,361.5441247599824,3.5029642801002403,27.174415905861306,7.957120678307902,367.16547724363966,57.33779504298115,119.62836701453821,180.50639252568357,24.289614306566484,283.2212573233072,12.466013249269734,11.377481000959689,83.52856896244876,44.11079453389792,71.87062903782224,13.17508147811885,6.698884797980611,,,18.000643306447746,55.03124498786304,26.75082735854669,0.182594577444697,,5.43309390069945,184.47943272472963,0.0,19.2379554003856,38.637830588933056,0.0,5.816508234738773,18.670092761121374,5.776058709089541,0.0,5.1028632910353275,2.8391491387869952e-05,0.6357418020212635,5.869883170618307e-06
2040-01-02 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748607266804,23.002855688095682,0.0696512308809763,49.29820304727966,12.758309030005533,361.5786629463408,3.5043357983851395,26.79082317036061,7.962358680514253,367.2825798520603,57.374214101226926,119.62836696785102,179.52941219702248,24.320878911391713,274.162974973637,12.725011867282866,11.383307117031247,77.7671323152184,44.26115535800528,71.71399795326748,6.309681098686536,16.77250186755282,,,18.74494131935096,57.31472477315644,27.70705420779588,0.1033174487503958,,3.590083584612456,199.85211888044907,0.0,10.777840906014598,41.3273331112096,0.0,4.412628882436385,16.016123116712556,4.954987084993812,0.0,4.175780958149073,0.2099752037953087,0.1097104882710982,5.832607191805208e-06
2040-01-02 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748596871706,23.00285570026376,0.0696842517685531,49.29820740105886,12.758310160068778,361.804059058116,3.511856831671344,26.95822612393115,7.991081752103254,370.73099434628887,57.5258125141321,119.62836707735579,178.9710760016348,24.739150421342014,265.53386268200984,12.72940928547814,11.400606541382134,74.58977660265795,46.245694746210305,77.44066862662402,29.3517809243631,122.3062585106958,,,28.877454138564673,88.39338512654575,40.59997549911946,3.731842472117767,0.0,7.922113774334549,293.018303144896,0.0,53.30339564351287,70.78382146839564,0.0,15.55972220667388,18.232827320939222,5.640779560068952,0.0,4.177949099059681,17.785057440165705,29.686408734835165,5.901301746732911e-06
2040-01-02 06:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974858534832,23.00285571442126,0.0697272212167685,49.2982132892739,12.758311688446042,362.1705175997042,3.5354724666782387,27.70172966987198,8.081271482579497,372.3390618207309,57.53412015126322,119.62836730726431,179.2819142143079,24.86321183537077,257.8874794116161,12.745468888909814,11.321181631127404,78.04656252926539,47.294194179707304,70.63040128999609,64.54715226173352,145.88952950761742,45.50796093864131,3.0134895590829217e-07,29.91710630082156,91.59411264596606,40.4049304153729,5.308627680551442,138.00880288982393,10.873141850400835,320.01572398174534,,49.558705809078475,83.01210589657074,7.317880501078334,17.90896395044629,15.279692050831434,4.727153606917344,0.0,3.005282627379381,0.4235420979618859,51.747105247103256,5.889864277578127e-06
2040-01-02 09:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974857695801,23.002855724911353,0.0697407663786701,49.29821265526678,12.758311523889184,362.3098357471876,3.5467929929232422,30.2919009353617,8.124505722669983,371.9834734587366,58.43643262263321,119.62836375488627,184.08630010160775,24.918864979571868,250.4263902823987,13.18313968794731,10.85075860833261,80.36333324668132,49.30569933567422,39.768548144125866,54.68057127078987,86.71705172872873,253.03219157558178,3.415908010851884,26.875922411718403,82.23987732737665,39.036567397534675,0.93524940603748,67.60684271740914,0.586137164040676,286.18763733849937,,39.03765114335192,66.35780367146475,1.4431967999833435,9.551483123836032,4.291553862288488,1.3276995751722938,,4.652288877928165,1.7713341192061378e-05,23.049517402971414,5.520547830658934e-06
2040-01-02 12:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974860127053,23.002855696575303,0.0697403797247275,49.29821313794286,12.75831164919194,362.44773955938155,3.54983925468249,30.430684583451537,8.136139634802213,371.77612624232546,58.40462117242845,119.62836403614779,189.08044076170955,24.866595668501983,272.31772376113787,13.656393462832265,10.797782872869478,87.76900560651238,49.30579555631892,39.19566212945681,63.61272078252972,74.6844926327717,201.2930700692637,5.49447796458627,25.325017186923443,77.47511764789658,38.84200534473341,0.3378203886637745,97.61322576904296,0.5940027006407366,272.48816864433627,,30.11564853454804,62.23627446318171,5.233145643843587,8.712192734545539,5.872254614447886,1.8167286062273245,,4.175785799311822,1.6894984818281355e-05,18.911640855446176,5.627337501585224e-06
2040-01-02 15:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748600046894,23.002855696222838,0.0697148317967095,49.29821383022041,12.758311828915078,362.4480330616201,3.5426544302207903,28.803204357572664,8.108700028474063,372.0672077978237,58.266721618446866,118.09740791447665,188.5845635588695,25.173297066617117,301.59160038822193,13.558777701989104,11.29016414150717,92.15237701262258,48.59925082948199,52.03745954185801,71.0093196097131,120.5758759721862,23.77214820842544,0.921753002021783,27.70493410891538,84.78607339690382,40.34285561760065,1.1793868148776832,142.95930584430695,8.047598082557188,289.37227740329325,,30.21085773107377,70.5755056671881,9.604123620063,12.14182020012224,22.3532297160245,6.915529196909645,0.0,4.175772814691895,0.0136243277487672,33.83096567794164,5.76339158139512e-06
2040-01-02 18:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974859708705,23.002855698388174,0.0696717311453274,49.29820668188721,12.758309973284042,362.27151737016607,3.525233433364058,29.152487501864556,8.042168340415596,370.92904289078587,58.50756720867038,115.63888558850533,186.63297384137815,25.3324783867644,306.070825156449,13.437762512645818,11.435962111807038,104.62059838038,48.59924914650679,54.01342837230887,35.363779846253905,119.87737665643792,,,27.335076135976728,83.64718048462166,39.71396717767067,1.300758649847065,0.3753255276679993,15.529022924896632,288.8225082640333,,32.243492478378606,69.35306886603941,,11.857371999610889,21.77157569150521,6.735580063185784,,4.7983346837870915,0.0505128865798725,30.126705894505424,5.747133226611995e-06
2040-01-02 21:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.919748593587464,23.00285570161435,0.0696441118524425,49.28192226350043,12.754063036059035,362.1710841887062,3.52061965431863,29.011418864429487,8.026350038628285,368.1108158136322,58.508098395520214,116.39009293053282,185.65792224376227,25.299536356171135,303.2783097974149,12.855130417511411,11.369184327935193,113.24314292191464,48.76444789757687,52.477973754324985,14.192850387875607,15.747124686685371,,,20.040340541723744,61.28818337397029,27.386628495333813,0.0348063452172988,,5.331074657361004,189.53901654206257,0.0,8.920715577962149,39.4506526486162,,5.023391234571249,22.159146846140526,6.855485449848707,,0.8221775305562011,1.7802335504625733e-05,0.4816267200472252,5.6505173172072e-06
2040-01-03 00:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974858825698,23.002855707393373,0.0696415743946649,49.27147573152736,12.751338568930356,362.2287016518699,3.5210985719743877,28.990387973071083,8.029335174661343,367.3668973732195,58.50809900823372,116.64046844353038,185.21141348389762,25.425814309741874,299.65605319351334,12.546133067377507,11.38979287164547,118.47418964302004,49.30252407206301,50.56357274910397,6.487587865924626,,,,17.01562038652088,52.018672272821995,28.610689431589147,0.033881886389727,,3.450400618767137,166.71892201246774,0.0,5.319708726932498,34.389710371419525,,3.365121134429011,21.26061525728858,6.577502307851387,,3.866081031054813,1.576072397023473e-05,1.5317683747782374e-05,5.614167467200462e-06
2040-01-03 03:00:00,14.9686658760155,2.698889859646953,21.56339385039261,34.91974858071933,23.002855716252956,0.0696631350944702,49.277172800760674,12.752824043725822,362.4875914556865,3.528405950545338,28.6212029347686,8.056612418266626,371.199790244748,58.30624370352987,118.9822260644888,185.07977015603933,25.494657057101858,296.8658087319322,13.323406429805178,11.485872550667832,120.73469383760496,49.30253496694207,47.75773814492396,28.42826415803294,99.70634036564472,,,22.393918644552976,68.4730838429232,40.00173028337521,2.1300374397413684,0.0,7.8268604010877585,258.39931925335634,,28.89310823739812,62.12532018470038,0.0,23.75423206590472,21.48562892182817,6.647115895924638,,4.182153499226239,15.61448003495724,18.521918811331616,5.506425856051033e-06
