config,cost_segment,capital,marginal
2023_nl,Distribution,1052360067.1790537,0.0
2023_nl,Energy production,9555599572.917095,7848360217.010734
2023_nl,Storage,471313421.61709523,0.0
2030_nl,Distribution,1730507530.7568896,0.0
2030_nl,Energy production,15131112626.91553,23261265957.910244
2030_nl,Storage,932476504.0787933,0.0
2035_nl,Distribution,1909709438.641237,0.0
2035_nl,Energy production,18322431110.64176,23514841373.12238
2035_nl,Storage,933318428.6962603,0.0
2040_nl,Distribution,2233846475.1485915,0.0
2040_nl,Energy production,24543047906.371998,21295015631.934544
2040_nl,Storage,945143840.8278059,0.0
2045_nl,Distribution,2484188344.025531,0.0
2045_nl,Energy production,34506939023.457886,19018655583.26974
2045_nl,Storage,1018293077.6468163,0.0
2050_nl,Distribution,2664019136.0152197,0.0
2050_nl,Energy production,59589911322.08215,18042962910.57125
2050_nl,Storage,1422271102.9298384,0.0
2023_lu,Distribution,44548525.32554416,0.0
2023_lu,Energy production,184552506.96854737,17409077.27224178
2023_lu,Storage,458658732.9053118,0.0
2030_lu,Distribution,87106754.40492275,0.0
2030_lu,Energy production,239998296.87502024,707598017.1218671
2030_lu,Storage,533590496.67496496,0.0
2035_lu,Distribution,96056475.2113157,0.0
2035_lu,Energy production,249975612.85855302,732266302.4736388
2035_lu,Storage,533564210.98280793,0.0
2040_lu,Distribution,101686998.64640313,0.0
2040_lu,Energy production,305279433.9921204,694213680.1645643
2040_lu,Storage,533551116.2420297,0.0
2045_lu,Distribution,122127798.3458387,0.0
2045_lu,Energy production,387235897.14851934,568034488.7329394
2045_lu,Storage,533690897.9756441,0.0
2050_lu,Distribution,131005892.81132798,0.0
2050_lu,Energy production,418349491.3488086,520542370.589721
2050_lu,Storage,533699189.79237705,0.0
