country,carrier,2023,2030,2035,2040,2045,2050
AL,BEV charger,131.3534577533287,429.7366097919863,745.9578885357051,1062.1791673205407,1200.0192118898271,1335.8321970027243
AL,air heat pump,3.2852528507384817,904.173625108404,921.6682028190604,944.6464888214988,1075.8911931391417,1203.1547244152707
AL,battery charger,0.0141184166216737,0.0097349886825087,0.0118816806659438,0.0132512373841409,0.014970116921354,0.0126694647914076
AL,ground heat pump,563.158258385918,654.8683771468399,653.8084978595592,651.4864219488913,1002.4571461041608,1161.637359520997
AL,home battery charger,0.0117485910052256,78.28385206940762,102.58302340271165,216.40327139281092,1998.3544906522725,2105.711495942548
AL,hydro,5434.474794581369,5434.464362843368,5434.373236230272,5432.646928103811,5434.471110495333,5434.473118160566
AL,water tanks charger,28.90649526420671,93.7083163529066,156.10959102496474,250.46674725966705,273.5435240487356,281.9198850154674
AT,BEV charger,1585.6578535420135,5187.646052863252,9004.970506603388,12822.29496044786,14486.256901825524,16125.748814678913
AT,PHS,140.4716091742048,8893.514041264069,12601.766343517427,11928.295302305023,11463.103956497402,10337.390249859764
AT,air heat pump,3976.8435298374,12917.758143440496,13660.48960445284,15234.162790310522,22510.859397427463,27036.863604839145
AT,battery charger,0.0141625278529296,0.010218282585994,0.0114494503017315,0.0119856614842712,0.012571422619403,0.0102220562164331
AT,ground heat pump,7733.215068762809,14146.376061857449,14160.27991278145,15573.564762576283,19343.925218941935,21231.821186992307
AT,home battery charger,0.0115969332739514,0.0123293424094787,0.0142375316946676,0.0176112185413446,0.0206062626113661,0.023044102601709
AT,hydro,15478.715644220829,15478.716065184242,15478.716529501877,15478.716618544811,15478.71681954408,15478.716885580268
AT,water tanks charger,1853.1105154724703,884.7827613854266,1228.5233206874614,2003.108138358598,2633.4525525534955,2858.704740647588
BA,BEV charger,219.36901710611127,717.6887484095082,1245.7993367113827,1773.9099250515408,2004.1119763487195,2230.92870338471
BA,air heat pump,0.0303777874979675,1659.4262622923743,1645.0668635435145,1623.1379807269384,2359.9371817902843,2636.1612961640963
BA,battery charger,0.0136733656705731,0.0095445522830712,0.0114967227322918,0.0124645513668232,0.0142577896299004,0.0121425669286823
BA,ground heat pump,1911.362227829242,2988.2245967993736,3002.0652176631324,3016.805602671311,4376.515278977491,4851.193968046451
BA,home battery charger,0.0113532412721112,0.028106513611636,47.822024925288254,109.43891670995056,802.697147448959,1651.1475527753296
BA,hydro,6447.598800410049,6447.599039914821,6447.599487515984,6447.599583892401,6447.5998001165935,6447.599848791264
BA,water tanks charger,74.59603307293716,172.20469000156936,296.79851647442626,458.61772670546486,515.1748964409736,528.0889745248832
BE,BEV charger,1898.774354269097,6212.039520213016,10783.162940358274,15354.286360667013,17346.827338686548,19310.06624354056
BE,PHS,272.6502110746977,874.9184644366395,910.5888105613842,973.6769159390542,1077.3194752581453,835.0935143306954
BE,air heat pump,0.138203460599345,37855.43183788143,40198.28529936784,41695.019015686,62351.88231514211,64062.63927337299
BE,battery charger,0.0446960189685688,0.0316711916639228,0.0363461097772021,0.0372970515324832,0.0420298781988242,0.0323625438040122
BE,ground heat pump,7313.817751320571,7804.124542709312,7800.321144181679,8323.371637356637,9542.828640064066,9737.646705216
BE,home battery charger,0.0363911157225352,0.0376958625448732,0.0401747176673788,0.0502889524686684,0.1564777191055583,0.2028750503384005
BE,hydro,46.68346703143904,46.68368630874142,46.68373832972269,46.68383791158685,46.68396547025421,46.6839904955748
BE,water tanks charger,172.61438700187873,1677.5179221282197,2263.0601690974763,4099.305232504691,7147.667812038128,7144.933945589833
BG,BEV charger,596.835948043751,1952.6114237659,3389.4386976011488,4826.265971543005,5452.575296041529,6069.674189321274
BG,air heat pump,4765.632243952484,3138.6493338360647,3146.473671007423,3083.950299918921,2921.8433487292255,3396.4415110474793
BG,battery charger,0.0134990414444246,0.0104338357004873,0.0120178727641564,0.0142732130115823,0.016006785516548,0.0135097304100565
BG,ground heat pump,2719.955276608397,2864.692853027346,2869.053932261978,2929.4485354425765,2952.572615511956,3214.4444308922793
BG,home battery charger,0.0112550959145697,0.0218881907397349,206.19822586733116,822.6485312825657,3018.0556163741994,3434.2856454918756
BG,hydro,3401.037353402158,3401.037429972657,3401.0379627787693,3401.038079522588,3401.0382612371336,3401.0383302620335
BG,water tanks charger,2223.13624821176,1311.2883556602085,1431.9238484488872,1366.2894423079135,1998.1018034812332,1899.5951274193403
CH,BEV charger,824.101439125193,2696.134326504149,4680.082226882193,6664.03012736762,7528.8279301019775,8380.90811811594
CH,PHS,429.2729891586399,9964.368102662756,11541.982102024804,11613.719889017351,11496.815640125757,9959.402019705634
CH,air heat pump,5405.910767770016,19880.46232528253,19708.330746113377,17640.795792245743,29022.311470676916,30602.32577560052
CH,battery charger,0.0148587804779705,0.0108730137286442,0.0124089672508173,0.0126088716345395,0.0132939757330745,0.0103031148004694
CH,ground heat pump,5572.374391695147,8295.67401037554,8273.66547294103,7791.79337144532,10948.76564516877,11974.85480955708
CH,home battery charger,0.0121827911777899,0.0128414744623346,0.0148566860816183,0.0198217849864612,0.024156134354476,0.0237730109518152
CH,hydro,22926.52931225651,22926.529990207306,22926.53036413499,22926.530448150603,22926.5306042434,22926.53064155512
CH,water tanks charger,154.77000415887443,957.091237654312,1290.0954668543634,2004.7819635662895,3800.607909150453,4203.575162526586
CZ,BEV charger,1275.8161446135025,4173.966387848836,7245.37561638643,10316.78484503112,11655.604252347166,12974.73513899262
CZ,air heat pump,1342.6198159841372,10617.981009493978,10898.22631372034,14371.621822057945,23501.484459202904,27832.878618868664
CZ,battery charger,0.0133029071028023,0.0105186109322142,0.0118132509977964,0.0123299323133991,0.0136241720435534,0.0114133436898279
CZ,ground heat pump,1449.6396323007782,11303.505703898449,11330.401119536578,14076.943711211126,18660.210439556435,20110.168675930305
CZ,home battery charger,0.0110065393491292,0.0120502121425077,0.0127579398027747,0.0143482895102424,0.0239458811250478,0.0498052948763978
CZ,water tanks charger,16738.094634904628,1347.4953559491894,1498.9013930982633,2864.6066650495545,4305.521759773746,4324.058182762074
DE,BEV charger,10249.760733105692,33533.16781349613,58208.517713727175,82883.8676140756,93639.7893654507,104237.53579700136
DE,PHS,799.8739702353569,6227.140074756611,6992.385968124521,7129.697783426036,7779.264471010561,6932.55279741254
DE,air heat pump,14802.12573236033,130967.3814231853,143355.88406023194,168641.07664502366,284597.6382620925,277597.2914671233
DE,battery charger,0.015313102898346,0.0112718030536095,0.0127442388735808,0.0128920462786063,0.0148643699742308,0.0120170644267074
DE,ground heat pump,40406.43710239355,62714.677796898715,62968.744217209234,79574.20206982776,112424.69298328264,125474.53951804248
DE,home battery charger,0.012425788008061,0.0130643675871047,0.014133781560857,0.0164904610064303,0.0286763656630614,3569.583856741692
DE,hydro,2053.119217588273,2053.1185558289567,2053.119251449111,2053.1195129358985,2053.119980404285,2053.120220031101
DE,water tanks charger,23220.995330666043,9213.470628661284,11341.423817899313,22177.21777326707,37011.68667016282,36135.21717711389
DK,BEV charger,833.0992552428833,2725.571614976259,4731.180916315346,6736.790217699414,7611.030169516667,8472.413651507291
DK,air heat pump,8743.830031015847,21645.900087069316,20156.48916718501,19770.96628502274,20828.028749919384,20980.194210252383
DK,battery charger,0.0329437046364591,0.0229853121613181,0.0278215913717643,0.0277174046060419,0.0281175147567745,0.0208826046586416
DK,ground heat pump,4255.6011849904435,360.10329428662436,358.7028638489479,0.4925107030088643,499.56055784779846,657.5569253132455
DK,home battery charger,0.0267096507928198,0.0297337899744033,0.0337994688240606,0.038700679952731,0.0488306262954259,0.0486588327482548
DK,water tanks charger,1017.3898826977434,920.0651175736788,1759.0401041662235,9821.85495999634,20115.54290599636,45144.95780182071
EE,BEV charger,146.1137887651027,478.02658168191624,829.7819905872497,1181.5373995993475,1334.8666804091013,1485.9411188801284
EE,air heat pump,973.1140088914514,625.361681187836,1020.5717040234792,854.851353314237,1082.087761000212,2356.896959259755
EE,battery charger,0.0149947986477695,0.010795583432937,0.0125207300669928,0.0125338458034731,0.0117472718121434,0.0094644641407583
EE,ground heat pump,1160.8901201478095,1265.9823027645327,1262.264732787101,1261.349422829488,1462.472577688578,2316.028813904179
EE,home battery charger,0.0123350148454781,0.0132093765510847,0.0141922077921853,0.0149867764198459,0.0162541625149573,0.0181559643715078
EE,water tanks charger,321.3157712617725,296.55161387382606,108.54987221742525,281.2150092002834,330.85055115809797,1472.6709398769603
ES,BEV charger,5245.871601630502,17162.419392330674,29791.369510699657,42420.319629285295,47925.2466039726,53349.21877025893
ES,PHS,165.0381282504532,17023.81885082798,19209.134689034858,17085.73292806345,15709.305885816386,16004.579480872117
