snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
carrier,Oil,Oil,Centralized heat,Electricity,Decentralized heat,Oil,Oil,Methanol,Electricity,Hydrogen,Solid biomass,Methane,Methane,CO2 captured,Methane,Electricity,Electricity,Hydrogen,Oil,Decentralized heat,Centralized heat,Electricity,Solid biomass,Methane,Methane,Electricity,Methane,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Industry,Agriculture,Aviation,Industry,Shipping,Agriculture,Industry,Industry,Industry,Industry CC,CO2 sequestration,Hydrogen production CC,Residual electricity consumption,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Central CHP production,Decentral heat production,Storage,Hydroelectricity,Power supply,Decentral heat production,Storage charging
2030-01-01 00:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277892351188,2.724858780735256,2.394753561745605,0.7749714399560036,0.6786062897881538,2.9598699239608504,3.51641457994836,0.0082106578983836,1.3342319084875998,11.593649423524566,1.327175993309725,1.325480947910876,0.5883333812141225,6.722121219822785,8.333228947043946,1.664842381755004e-06,3.0062435638910133e-06,2.5566504879458267e-06,7.790764614319508e-06
2030-01-01 03:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277879251858,2.7248587802633946,2.394753562269895,0.7749657106418536,0.6786065830005059,2.340146192970142,3.6257486390085854,0.0409466153736024,6.653824998216,18.98860472165194,2.1736539922219817,1.33080831017619,1.7508070235681086,14.090822121153716,0.0,0.0,3.5758770171075324e-06,2.579060411121753e-06,7.724718204133258e-06
2030-01-01 06:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277868248144,2.724858779859233,2.394753562718963,0.7749658443499777,0.678606583944436,2.299687979988593,3.58382982652743,0.0868149823787804,14.107434636544,19.642894595191393,2.248548562313876,1.2322380895404368,1.752466241806256,14.885875732694176,0.0,0.0,3.59454535035595e-06,2.5846406898307715e-06,7.690409291529548e-06
2030-01-01 09:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277855802733,2.7248587788005425,2.394753563895286,0.7749695179447197,0.6786065832356026,2.8495359563595635,3.4615740342824917,0.0714690857850252,11.613726440064,17.32021759799835,1.982678806631352,1.4906564846495431,1.7466996836073505,12.393299435482044,0.895936865522441,0.0,3.5277724085340164e-06,2.5987038467692935e-06,7.737173486841282e-06
2030-01-01 12:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277850417163,2.7248587781593545,2.394753564607718,0.7749700317933105,0.6786065822937983,2.913544779351474,3.114512594570498,0.0841961735249913,13.681878197804,16.579345325796382,1.897873416472444,1.7737190551800002,1.744911607606678,11.915989550837804,3.95139527738289,2.0533409903021763e-07,3.2923878817353275e-06,2.595947576920787e-06,7.825085860148475e-06
2030-01-01 15:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277853349553,2.7248587786191147,2.394753564096873,0.7749698135388551,0.6786065863483247,3.197667795474551,2.3164433886085924,0.0962018174540775,15.632795336296,17.60660424967403,2.015460617346309,0.5916124715543802,1.747790895140625,13.998966508741576,0.0,,3.795154427197526e-06,2.5927858454288458e-06,7.723310589845555e-06
2030-01-01 18:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.550227785375008,2.7248587783000016,2.3947535644514435,0.7749686678302747,0.6786065859183315,3.3053704467300733,2.3164434331694332,0.0442769103382398,7.1949979299610005,17.414128811222085,1.99342854301297,0.6978119934800452,1.7475678751401589,13.952262331640073,0.0,,3.807125077006422e-06,2.589145286808518e-06,7.759866152741027e-06
2030-01-01 21:00:00,0.23557372544599,7.776837238382229,0.4623287671232878,5.641552511415526,0.8042242257195091,2.253583391852,8.896118721461999,2.8982002130656497,0.1702536780122392,0.4189497716894977,1.5502277853032471,2.7248587778833744,2.394753564914362,0.7749686073065298,0.6786062860638215,3.550922618873349,2.3057900140473566,0.0175610512228396,2.8536708237099995,12.089284339161546,1.3839098173646645,0.0002297292957891,1.5257027069503402,8.147648662767375,0.0,0.0,3.819118549615071e-06,2.574308774412057e-06,8.44763897951261e-06
