snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,CO2 emissions,Electricity,Electricity,Electricity,Decentralized heat,Centralized heat,Electricity,CO2 emissions,Centralized heat,Methane,Decentralized heat,Electricity,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Steam Methane Reforming,Heat Pump,Heat Pump,Nuclear,Imports,Transport emissions,Offwind,Onwind,Solar,Gas Boiler,Biomass CHP,Biomass CHP,Decentral heat production emissions,Gas Boiler,Storage,Resistive heater,Hydroelectricity,Power supply emissions,Gas,Oil Boiler,Storage,Storage
2035-01-01 00:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243964558646374,0.6540574519924321,0.4682466682775505,0.1209298012841883,0.0720419796938303,5.34135290215501,1.034373765135738,2.05600137857492,16.549592139643767,0.259911967936194,7.08399986595129,4.096470505732193,,4.875769498989533,0.0214464734724971,0.007013864556676,1.1992146011593914,1.1246166728489335,,1.1340621000300344,0.07976691425471119,4.5732563286107434e-07,8.562762647656151e-07,9.015735648280724e-07,9.621687727048327e-07,1.7524541566897937e-06
2035-01-01 03:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243964661918707,0.6540574403716207,0.4682468756888637,0.1209298549885903,0.0720422308325435,5.3146022677927665,1.0280474688602417,2.056002136516959,16.645413478752307,1.2961830237969223,6.635077901771881,3.2329759315589883,,11.091884686556709,0.8625242734368632,0.2807738981764068,2.5227217865015943,1.4796780014037485,4.937943467312152,1.6061929805367194,0.07989347463986168,5.557689362763809e-07,1.1660590463970455e-06,9.026880455397736e-07,7.541858848911599e-07,1.7621932215277512e-06
2035-01-01 06:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396465131581,0.6540574416630714,0.4682469246294742,0.1209298676630513,0.0720422917952427,5.298926721314039,1.0244537096863593,2.0560021413085243,16.706388992240502,2.748166248754483,6.880577076986313,2.4285298269487865,0.03931093483373317,11.755703204229206,0.8638890521026051,0.281218321056254,2.6758914898849135,1.5797064234354772,4.575258913056358,1.547444927416501,0.07989592112589357,5.581315611542295e-07,1.174036617120865e-06,9.069000933517048e-07,8.188332035550045e-07,1.7620774735418158e-06
2035-01-01 09:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243964647698,0.6540574421759808,0.468246868734713,0.1209298531862558,0.0720422199324576,5.285093362338792,1.021599540954841,2.056001873573658,16.69897870684434,2.262385178251488,7.059803263613993,2.0796126559834542,1.370692482834103,9.683408293625646,0.0447280953375052,0.0146391205298003,2.342387656719888,2.027178048316711,0.0,1.5412681038863998,0.0798762896616645,4.989437539046477e-07,9.787039256493526e-07,9.127870672834808e-07,8.267604213609456e-07,1.763956610204241e-06
2035-01-01 12:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396464274285,0.6540574427894101,0.4682469147300718,0.1209298650991754,0.0720422797554441,5.250464917811486,1.0135894344358032,2.0560018644971976,16.659204394255784,2.6652667087588604,7.069077638012661,1.8327338805209608,2.0926439272978814,9.254378425015265,0.0427368364661961,0.0139873787376162,2.2352850302021716,1.9199157994459768,0.0,1.337536435457002,0.0798762894022582,4.981471451209537e-07,9.76068031150569e-07,9.1128732373191e-07,8.394836731551265e-07,1.7350907837112058e-06
2035-01-01 15:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396464894526,0.6540574419425428,0.4682469224835531,0.1209298671075296,0.0720422901923184,5.085371909958195,0.9749977628471908,2.0560021391425254,16.56234065529162,3.0453106198043987,7.04578705040154,1.5161786088486944,0.0245098082513721,10.03739029821671,0.8591797636285394,0.2796834189015644,2.278654872150277,1.316765620147683,3.650754915088887,1.6449892490480884,0.0798797413490703,5.576551323432079e-07,1.1720100637571246e-06,9.117761908426456e-07,7.696075751316696e-07,1.7536070147319198e-06
2035-01-01 18:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.4243964644790554,0.6540574423277341,0.4682468746526224,0.1209298547196618,0.0720422291170297,4.937810203997874,0.9404987310237202,2.056002141644536,16.460216021610545,1.4016049679044635,7.081825232111812,1.782771306730176,,10.0314683932084,0.8589781318430229,0.2796174252950982,2.2778753740578694,1.3189557586257008,3.814486752051814,1.6250878293491764,0.07987950020197575,5.578820695739477e-07,1.1723765340815386e-06,9.121921903700308e-07,7.668191879188921e-07,1.7540597785165974e-06
2035-01-01 21:00:00,2.626130325135815,0.5793962900451491,0.060566004812164,2.424396463906601,0.6540574429292303,0.4682466628006395,0.120929799866899,0.0720419694651473,4.912718265104845,0.9345755877432184,2.0560021429992736,16.35275974352949,0.5559027594188651,7.0838975469511425,2.1559234828618887,,5.2793247600972695,0.8009776055783687,0.2607134856342913,1.16762618811677,0.5304351614170757,0.0,1.6056172786846847,0.07987860599332927,5.574875129199452e-07,1.169386543431628e-06,9.121604340960212e-07,7.934863036482772e-07,1.737511757271909e-06
